id;nombre;logo;logo_content_type
1;Buckinghamshire;../fake-data/blob/hipster.png;image/png
2;channels Jefe;../fake-data/blob/hipster.png;image/png
3;Metal compress programming;../fake-data/blob/hipster.png;image/png
4;Borders withdrawal Avon;../fake-data/blob/hipster.png;image/png
5;Comunidad transparent matrix;../fake-data/blob/hipster.png;image/png
6;Extremadura;../fake-data/blob/hipster.png;image/png
7;Kuwait bifurcada FTP;../fake-data/blob/hipster.png;image/png
8;transmitter Netherlands;../fake-data/blob/hipster.png;image/png
9;clicks-and-mortar;../fake-data/blob/hipster.png;image/png
10;back-end;../fake-data/blob/hipster.png;image/png
