id;nombre;edad;rango;especie
1;Kyat;31374;Azerbayán Director GB;revolutionary Interfaz Investment
2;haptic XSS;39739;Sopa;Gerente
3;Cine Afghani;53826;cutting-edge hack;Música
4;Travesía Programa Account;99854;virtual Avon Refinado;XML
5;modelo;90777;Arquitecto;feed
6;usuario Orientado;96979;Loan;USB
7;Hormigon Azul ADP;20317;Rincón index convergence;Bricolaje e-enable
8;Granito Rincón;19184;Guapa Martinica;Investigación proyecto Aragón
9;Rojo Navarra;40216;Sorprendente AI;brand reboot
10;overriding niches Distrito;72395;portals real-time Cambridgeshire;Verde
